               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.048276,            0.051698,                   0,             0.39814,             0.44889,             0.36125,             0.25132,            0.039404,            0.028602,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.048209,             0.05187,                   0,             0.40462,             0.44055,              0.3612,             0.25126,            0.039374,            0.028594,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.048162,            0.051684,                   0,             0.38912,             0.45897,             0.36082,             0.25096,            0.039342,            0.028595,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.048086,            0.051438,                   0,             0.39769,             0.44662,              0.3602,             0.25075,            0.039316,            0.028606,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.047975,            0.051469,                   0,             0.38308,             0.46469,             0.35944,             0.25046,            0.039286,            0.028632,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.047716,              0.0511,                   0,             0.40251,             0.43914,             0.35919,              0.2504,            0.039248,            0.028618,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.047556,            0.050695,                   0,             0.40215,             0.44124,             0.35966,              0.2506,            0.039214,            0.028589,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.047348,            0.050841,                   0,             0.39813,             0.44385,             0.35883,             0.25009,            0.039182,            0.028619,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.047261,            0.050654,                   0,             0.39114,             0.45094,             0.35814,             0.24977,            0.039153,            0.028641,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.047086,            0.050554,                   0,             0.39222,             0.44933,             0.35835,             0.25007,            0.039121,            0.028606,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.046981,            0.050528,                   0,             0.39525,             0.44507,             0.35812,             0.24997,            0.039095,            0.028571,                   0,            0.000496,            0.000496,            0.000496
